 x(m), density, u, p, T
   1.07692301     ,   2.06903553     ,   215.795837     ,   2.25297070     ,   384.224976    
   1.09030104     ,   2.06902838     ,   215.795868     ,   2.25297141     ,   384.226410    
   1.10367894     ,   2.06902337     ,   215.795944     ,   2.25297117     ,   384.227295    
   1.11705685     ,   2.06902051     ,   215.796021     ,   2.25297117     ,   384.227814    
   1.13043475     ,   2.06901884     ,   215.796082     ,   2.25297117     ,   384.228149    
   1.14381266     ,   2.06901813     ,   215.796112     ,   2.25297141     ,   384.228333    
   1.15719056     ,   2.06901789     ,   215.796021     ,   2.25297165     ,   384.228424    
   1.17056859     ,   2.06901789     ,   215.795975     ,   2.25297236     ,   384.228516    
   1.18394649     ,   2.06901789     ,   215.795944     ,   2.25297236     ,   384.228546    
   1.19732440     ,   2.06901789     ,   215.796036     ,   2.25297213     ,   384.228516    
   1.21070230     ,   2.06901884     ,   215.796112     ,   2.25297189     ,   384.228271    
   1.22408020     ,   2.06902027     ,   215.796127     ,   2.25297213     ,   384.228058    
   1.23745811     ,   2.06902242     ,   215.796188     ,   2.25297236     ,   384.227722    
   1.25083613     ,   2.06902528     ,   215.796112     ,   2.25297379     ,   384.227417    
   1.26421404     ,   2.06902790     ,   215.796082     ,   2.25297499     ,   384.227112    
   1.27759194     ,   2.06902981     ,   215.796082     ,   2.25297499     ,   384.226776    
   1.29096985     ,   2.06903172     ,   215.796127     ,   2.25297499     ,   384.226410    
   1.30434775     ,   2.06903338     ,   215.796143     ,   2.25297475     ,   384.226074    
   1.31772578     ,   2.06903505     ,   215.796112     ,   2.25297475     ,   384.225769    
   1.33110368     ,   2.06903720     ,   215.796082     ,   2.25297523     ,   384.225464    
   1.34448159     ,   2.06903934     ,   215.796097     ,   2.25297642     ,   384.225250    
   1.35785949     ,   2.06904125     ,   215.796143     ,   2.25297713     ,   384.225006    
   1.37123740     ,   2.06904292     ,   215.796219     ,   2.25297761     ,   384.224792    
   1.38461530     ,   2.06904411     ,   215.796249     ,   2.25297832     ,   384.224670    
   1.39799333     ,   2.06904483     ,   215.796295     ,   2.25297856     ,   384.224579    
   1.41137123     ,   2.06904554     ,   215.796326     ,   2.25297928     ,   384.224579    
   1.42474914     ,   2.06904578     ,   215.796371     ,   2.25297976     ,   384.224579    
   1.43812704     ,   2.06904602     ,   215.796463     ,   2.25297999     ,   384.224640    
   1.45150495     ,   2.06904602     ,   215.796494     ,   2.25298071     ,   384.224701    
   1.46488297     ,   2.06904507     ,   215.796509     ,   2.25298166     ,   384.225067    
   1.47826087     ,   2.06904435     ,   215.796524     ,   2.25298357     ,   384.225555    
   1.49163878     ,   2.06904244     ,   215.796494     ,   2.25298405     ,   384.225983    
   1.50501668     ,   2.06903958     ,   215.796585     ,   2.25298405     ,   384.226501    
   1.51839459     ,   2.06903601     ,   215.796768     ,   2.25298357     ,   384.227081    
   1.53177249     ,   2.06903338     ,   215.796890     ,   2.25298333     ,   384.227539    
   1.54515052     ,   2.06903195     ,   215.796936     ,   2.25298381     ,   384.227905    
   1.55852842     ,   2.06903243     ,   215.796860     ,   2.25298619     ,   384.228210    
   1.57190633     ,   2.06903434     ,   215.796570     ,   2.25298929     ,   384.228363    
   1.58528423     ,   2.06903505     ,   215.796600     ,   2.25299072     ,   384.228455    
   1.59866214     ,   2.06903481     ,   215.796860     ,   2.25299025     ,   384.228424    
   1.61204016     ,   2.06903362     ,   215.797394     ,   2.25298738     ,   384.228210    
   1.62541807     ,   2.06903386     ,   215.797760     ,   2.25298548     ,   384.227814    
   1.63879597     ,   2.06903648     ,   215.797653     ,   2.25298762     ,   384.227722    
   1.65217388     ,   2.06904125     ,   215.797089     ,   2.25299263     ,   384.227661    
   1.66555178     ,   2.06904697     ,   215.796448     ,   2.25299954     ,   384.227753    
   1.67892969     ,   2.06904817     ,   215.796570     ,   2.25300002     ,   384.227631    
   1.69230771     ,   2.06904626     ,   215.797318     ,   2.25299597     ,   384.227295    
   1.70568562     ,   2.06904125     ,   215.798691     ,   2.25298715     ,   384.226715    
   1.71906352     ,   2.06904149     ,   215.799179     ,   2.25298548     ,   384.226379    
   1.73244143     ,   2.06904650     ,   215.798828     ,   2.25299120     ,   384.226410    
   1.74581933     ,   2.06905699     ,   215.797379     ,   2.25300455     ,   384.226776    
