 x, u(initial), v, u(Exact), v, u(Comp), v
 -0.340000033     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.330000043     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.319999993     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.310000002     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.300000012     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.290000021     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.280000031     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.270000041     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.259999990     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.250000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.240000010     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.230000019     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.220000029     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.210000038     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.200000048     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.189999998     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.180000007     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.170000017     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.160000026     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.150000036     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.140000045     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.129999995     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.120000005     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.110000014     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
 -0.100000024     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  -9.00000334E-02 ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  -8.00000429E-02 ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  -6.99999928E-02 ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  -6.00000024E-02 ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  -5.00000119E-02 ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  -4.00000215E-02 ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  -3.00000310E-02 ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  -2.00000405E-02 ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
  -1.00000501E-02 ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
   0.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
   9.99999046E-03 ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000012     ,   1.00000000    
   1.99999809E-02 ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000048     ,  0.999999464    
   2.99999714E-02 ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000513     ,  0.999994874    
   3.99999619E-02 ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00003541     ,  0.999964714    
   4.99999523E-02 ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00018084     ,  0.999819219    
   5.99999428E-02 ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00073385     ,  0.999265850    
   6.99999332E-02 ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00246227     ,  0.997537613    
   7.99999237E-02 ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.00703001     ,  0.992970049    
   9.00000334E-02 ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.01744998     ,  0.982550085    
  0.100000024     ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.03828979     ,  0.961710036    
  0.110000014     ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.07528102     ,  0.924718738    
  0.120000005     ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.13413072     ,  0.865869284    
  0.129999995     ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.21872675     ,  0.781273127    
  0.139999986     ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.32935262     ,  0.670647264    
  0.149999976     ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.46170843     ,  0.538291514    
  0.159999967     ,   2.00000000     ,  -1.00000000     ,   1.00000000     ,   1.00000000     ,   1.60729969     ,  0.392700374    
  0.169999957     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   1.75516629     ,  0.244833946    
  0.179999948     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   1.89433432     ,  0.105665609    
  0.189999938     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.01610661     ,  -1.61067899E-02
  0.199999928     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.11544681     , -0.115447924    
  0.209999919     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.19119263     , -0.191197067    
  0.220000029     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.24529505     , -0.245307818    
  0.230000019     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.28156257     , -0.281597823    
  0.240000010     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.30441284     , -0.304504603    
  0.250000000     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.31794667     , -0.318172544    
  0.259999990     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.32545042     , -0.325976938    
  0.269999981     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.32925963     , -0.330422252    
  0.279999971     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.33084631     , -0.333280593    
  0.289999962     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.33099532     , -0.335836887    
  0.299999952     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.32998300     , -0.339141160    
  0.309999943     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.32771826     , -0.344214618    
  0.319999933     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.32384610     , -0.352178276    
  0.329999924     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.31783271     , -0.364288628    
  0.339999914     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.30905557     , -0.381873339    
  0.350000024     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.29691195     , -0.406170994    
  0.360000014     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.28094864     , -0.438101739    
  0.370000005     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.26099300     , -0.478013903    
  0.379999995     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.23726177     , -0.525477052    
  0.389999986     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.21040773     , -0.579185009    
  0.399999976     ,   2.00000000     ,  -1.00000000     ,   2.33333349     , -0.333333373     ,   2.18148804     , -0.637024045    
  0.409999967     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.15184546     , -0.696309268    
  0.419999957     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.12292576     , -0.754148364    
  0.429999948     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.09607172     , -0.807856202    
  0.439999938     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.07234025     , -0.855318904    
  0.449999928     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.05238438     , -0.895230889    
  0.459999919     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.03641963     , -0.927160442    
  0.469999909     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.02427244     , -0.951454580    
  0.480000019     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.01548529     , -0.969029307    
  0.490000010     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00944400     , -0.981111765    
  0.500000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00549865     , -0.989002526    
  0.509999990     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00305271     , -0.993894815    
  0.519999981     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00161386     , -0.996772587    
  0.529999971     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00081134     , -0.998377502    
  0.539999962     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00038743     , -0.999225378    
  0.549999952     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00017548     , -0.999649286    
  0.559999943     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00007534     , -0.999849737    
  0.569999933     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00003052     , -0.999939084    
  0.579999924     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00001192     , -0.999976754    
  0.589999914     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000429     , -0.999991596    
  0.599999905     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000167     , -0.999997139    
  0.610000014     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000048     , -0.999998987    
  0.620000005     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000024     , -0.999999702    
  0.629999995     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     , -0.999999940    
  0.639999986     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.649999976     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.659999967     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.669999957     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.679999948     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.689999938     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.699999928     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.709999919     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.719999909     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.730000019     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.740000010     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.750000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.759999990     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.769999981     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.779999971     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.789999962     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.799999952     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.809999943     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.819999933     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.829999924     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.839999914     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.849999905     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.860000014     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.870000005     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.879999995     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.889999986     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.899999976     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.909999967     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.919999957     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.929999948     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.939999938     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.949999928     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.959999919     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.969999909     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.979999900     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
  0.990000010     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
   1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000     ,   2.00000000     ,  -1.00000000    
